username,content,date
cnnbrk,CNN PROJECTION: Minneapolis voters decide to keep the city’s police department intact after protests against George Floyd’s killing last year https://t.co/SFtrEyxfrK,2021-11-03 02:12:21+00:00
cnnbrk,"CNN PROJECTION: Ed Gainey will become mayor of Pittsburgh, making him the first Black mayor in the city’s history 
https://t.co/SvOYnHHpIE",2021-11-03 01:56:01+00:00
cnnbrk,"CNN PROJECTION: Democrat and retired NYPD captain Eric Adams will be the next mayor of New York City, succeeding Bill de Blasio. He will be the second Black mayor in New York’s history
https://t.co/bUnvyH2jT6",2021-11-03 01:33:43+00:00
cnnbrk,"CDC director signs off on child doses of Pfizer's Covid-19 vaccine, allowing millions of kids ages 5 to 11 to receive their shots now
https://t.co/ENz8BbxB3h",2021-11-03 00:05:43+00:00
cnnbrk,"Vaccine advisers to the CDC vote unanimously to recommend giving Pfizer's Covid-19 vaccine to children ages 5 to 11
https://t.co/m2XghTtDU7",2021-11-02 21:17:51+00:00
cnnbrk,"Facebook says it plans to stop using its facial-recognition software and delete the data that's been gathered from over 1 billion users
https://t.co/cq18i6ic4F",2021-11-02 18:13:09+00:00
cnnbrk,"The Justice Department sues to block Penguin Random House's proposed acquisition of Simon &amp; Schuster, citing its potential harm to authors
https://t.co/pXacT8rEsi",2021-11-02 17:26:22+00:00
cnnbrk,"Vaccinated Amazon workers will no longer have to wear masks in the warehouse unless required by federal, state or local law
https://t.co/ewgWJbkV3l",2021-11-02 14:45:52+00:00
cnnbrk,"Yahoo says it's shutting down access to its services in China, citing the country's ""increasingly challenging business and legal environment"" 
https://t.co/Iu8KEYTUqL",2021-11-02 12:21:12+00:00
cnnbrk,"Two blasts have been heard near a military hospital in Kabul, an Afghan Interior Ministry spokesman said in a tweet Tuesday https://t.co/nOdl7Nigmn",2021-11-02 09:55:12+00:00
cnnbrk,The Biden administration proposes new rules to slash planet-warming methane emissions as the President attends the UN climate summit in Glasgow https://t.co/7IJPCJDNzF,2021-11-02 05:32:24+00:00
cnnbrk,"President Joe Biden apologized to world leaders at the COP26 summit for actions taken by the Trump administration in pulling out of the Paris Climate Accord
https://t.co/1oqcstqwVB",2021-11-01 16:13:12+00:00
cnnbrk,"People are feared to be trapped after a 21-story building collapsed in Lagos, Nigeria
https://t.co/MGebP750MA",2021-11-01 15:25:19+00:00
cnnbrk,"President Joe Biden urged swift action to combat the climate crisis on the first day of the pivotal COP26 climate summit in Glasgow, telling fellow world leaders there remains only a ""brief window"" to take action
https://t.co/1rsQgjAGX9",2021-11-01 15:16:52+00:00
cnnbrk,"A US government rule for private businesses with 100 or more employees to vaccinate them or do weekly tests will go on the books within days
https://t.co/gduIi3ImEJ",2021-11-01 14:55:25+00:00
cnnbrk,"American Airlines cancels another 250 flights, continuing a days-long chain reaction that grounded more than 2,000 flights
https://t.co/e1irsKiLOE",2021-11-01 12:58:22+00:00
cnnbrk,Barclays CEO Jes Staley steps down after investigation into links with convicted sex offender Jeffrey Epstein https://t.co/angzG2uDWm,2021-11-01 08:29:02+00:00
cnnbrk,"A ""number of people"" have been injured in a train collision near Salisbury, England, police say. No one has been reported dead.
https://t.co/bR8DeXrSOo",2021-10-31 23:19:52+00:00
cnnbrk,"White House press secretary Jen Psaki has tested positive for Covid-19. She says she last saw President Biden on Tuesday outside while masked.
https://t.co/pIdL0gndPb",2021-10-31 21:53:01+00:00
cnnbrk,"At least 17 people have been injured in Tokyo after a man wielding a knife started a fire on a moving train, NHK reports
https://t.co/kpMKUi7w1U https://t.co/5xAk76We4y",2021-10-31 20:50:03+00:00
cnnbrk,"Jerry Remy, the beloved longtime Boston Red Sox broadcaster and former MLB player, has died after a lengthy battle with cancer, the team says. He was 68.
https://t.co/ELYR16DgsD",2021-10-31 18:46:24+00:00
cnnbrk,"One person was killed when a Czech cable car cabin became detached from its cable
https://t.co/ZfJEMsbTwB",2021-10-31 17:40:43+00:00
cnnbrk,"A man has been arrested by police after brandishing a knife and starting a fire on a moving train in Tokyo, according to NHK reports. At least 8 people were injured.
https://t.co/UIeuXTyv6w https://t.co/wN2zVngRhP",2021-10-31 14:10:33+00:00
cnnbrk,"American Airlines cancels more than 600 flights today due to weather and staffing issues. Over 1,500 flights have been canceled since Friday.
https://t.co/n79ZJ9wABB",2021-10-31 13:03:34+00:00
cnnbrk,"American Airlines cancels hundreds of flights this weekend, citing bad weather earlier in the week and staffing shortages
https://t.co/88z8ZoOxh6",2021-10-30 22:11:55+00:00
cnnbrk,"The Biden administration and the EU reached an agreement on easing Trump-era sanctions on aluminum and steel, officials announced
https://t.co/jwiVi3LQDB",2021-10-30 20:32:04+00:00
cnnbrk,"John Deere and the UAW reach a tentative agreement more than two weeks after 10,000 workers went on strike, both sides say
https://t.co/1649YEIoHg",2021-10-30 18:16:40+00:00
cnnbrk,"Three people were killed and one person was injured when an Amtrak train struck a vehicle at a railroad crossing in South Carolina, fire officials say
https://t.co/M6vWIwIAY1",2021-10-30 17:21:19+00:00
cnnbrk,"House Democratic leaders want a vote as soon as Tuesday for the $1.2 trillion infrastructure bill and $1.75 trillion economic plan, sources say
https://t.co/nbyfcTfQE8",2021-10-30 16:35:09+00:00
cnnbrk,"Hundreds of thousands of people are demonstrating across Sudan, in the largest protests yet against this week's coup
https://t.co/HjZMGG2dPK",2021-10-30 15:55:28+00:00
cnnbrk,"As many as 10,000 people — including climate activists and people who lost their jobs due to globalization — are expected to protest in Rome today during the G20 summit
https://t.co/8FRdeyBwRF",2021-10-30 15:08:49+00:00
cnnbrk,"The US Supreme Court denied a request to block a Maine rule that requires health care workers to be vaccinated against Covid-19
https://t.co/CRCQpwadxI",2021-10-29 22:03:37+00:00
cnnbrk,The FDA authorizes Pfizer's Covid-19 vaccine for emergency use in children ages 5 through 11 https://t.co/k3n3rXJ4XI,2021-10-29 19:27:26+00:00
cnnbrk,"New York Attorney General Letitia James entered the race for governor, kicking off a Democratic primary clash that will immediately pit the progressive favorite against moderate Gov. Kathy Hochul
https://t.co/gXatO2CJKA",2021-10-29 18:05:23+00:00
cnnbrk,"Queen Elizabeth II advised by doctors to rest for at least another two weeks, Buckingham Palace says
https://t.co/eEPXS6KaX7",2021-10-29 17:03:49+00:00
cnnbrk,"Ahead of a closely watched meeting with his French counterpart, President Biden said the US was ""clumsy"" in its handling of a deal with Australia that deprived France of billions in defense contracts.
https://t.co/bSMXULzzo9",2021-10-29 16:28:23+00:00
cnnbrk,"Illinois Rep. Adam Kinzinger, a fierce Trump critic and one of two Republicans on the House January 6 committee, will not seek reelection
https://t.co/2eWqEhvOQ6",2021-10-29 14:33:12+00:00
cnnbrk,"The US Department of Education filed a complaint against Florida for reducing funding for certain school districts amid a battle over mask mandates
https://t.co/lArUTEcBbM",2021-10-29 02:02:28+00:00
cnnbrk,"Former Republican Virginia Gov. A. Linwood Holton Jr. has died at 98, according to a tweet from his son-in-law Sen. Tim Kaine
https://t.co/oGfoOtMkx0",2021-10-29 01:06:18+00:00
cnnbrk,"Florida Gov. Ron DeSantis announced a lawsuit against the Biden administration over the President's order imposing a vaccine mandate on federal contractors
https://t.co/oXRZnIu6xO",2021-10-29 00:28:17+00:00
cnnbrk,"People in Baltimore and Washington, DC could be in for one of the biggest tidal flooding events in two decades, forecasters warn
https://t.co/lexZNk6joR",2021-10-28 23:26:40+00:00
cnnbrk,"The House has delayed the infrastructure vote again, in a blow to Biden's agenda as he heads overseas for G20 meetings
https://t.co/nQuYrFHK7j",2021-10-28 22:33:37+00:00
cnnbrk,"The man who organized a flight that crashed, killing soccer player Emiliano Sala and a pilot in 2019, has been found guilty of endangering the safety of the aircraft
https://t.co/4dEUCZsjnB",2021-10-28 21:24:22+00:00
cnnbrk,"Andrew Cuomo, who resigned as New York's governor after allegations of inappropriate touching, faces sex crime complaint, court spokesman says
https://t.co/q00fljfaFT",2021-10-28 20:33:31+00:00
cnnbrk,"Members of the NYC Fire Department protested the city's looming Covid vaccine mandate as officials brace for mass staffing shortages
https://t.co/Ts2CdqpaJK",2021-10-28 19:27:26+00:00
cnnbrk,"Facebook announces a new corporate name, part of a rebranding and shift in strategy after intense criticism of the social-media platform
https://t.co/GQtw4V1q27",2021-10-28 18:33:35+00:00
cnnbrk,"Families of the nine people killed in the Charleston church massacre reached a settlement with the US government over the shooter's gun purchase
https://t.co/R9P82iff47",2021-10-28 16:09:43+00:00
cnnbrk,Watch live: President Biden addresses the nation after meeting with Democrats over a pared-down version of his $1.75T bill as he tries to save his domestic agenda https://t.co/klrisJ3n7r,2021-10-28 15:39:22+00:00
cnnbrk,"The US economy grew at an annualized rate of 2% in the third quarter, far lower than what economists predicted, as the Delta variant, supply chain chaos, worker shortages and higher prices weighed on activity https://t.co/Er39ezbQop",2021-10-28 12:39:22+00:00
cnnbrk,"President Biden will present the framework of his $1.75T economic and climate package to Democrats as his major domestic agenda hangs in the balance
https://t.co/BHKeCnKISC",2021-10-28 11:38:59+00:00
cnnbrk,"A California school safety officer has been charged with murder after fatally shooting an 18-year-old woman as she tried to flee a physical altercation, authorities said
https://t.co/jeBLU6poZS",2021-10-28 02:16:52+00:00
cnnbrk,"The FDA announced changes including new labeling with a boxed warning and a patient checklist telling people that implants don't last a lifetime
https://t.co/4eNq9uHb8j",2021-10-28 01:07:00+00:00
cnnbrk,"Democrats are expected to scrap paid leave from their economic and climate package, discarding a central plank as they scramble to strike a deal
https://t.co/M5QemTFCKC",2021-10-27 21:09:09+00:00
cnnbrk,"""Rust"" assistant director acknowledged he did not check all the rounds in the gun before the deadly shooting, according to a search warrant affidavit
https://t.co/f8Z03POb2g",2021-10-27 20:11:38+00:00
cnnbrk,"A jury has been selected in the civil trial for organizers of the 2017 ""Unite the Right"" rally in Charlottesville, Virginia, that turned violent.
https://t.co/JdaB5C2sYj",2021-10-27 19:31:05+00:00
cnnbrk,"Iran agrees to renew negotiations with world powers aimed at resurrecting its nuclear deal before the end of November, its top nuclear negotiator says
https://t.co/fsX4TvBLQp",2021-10-27 18:00:30+00:00
cnnbrk,"A sheriff says he suspects more live rounds were recovered on the ""Rust"" movie set where a crew member died, but investigators are awaiting further tests
https://t.co/QssbAnI8lF",2021-10-27 16:50:55+00:00
cnnbrk,"Santa Fe authorities discuss the latest developments in the on-set shooting involving Alec Baldwin that left a crew member dead. Follow live updates.
https://t.co/5E96ayLHEX",2021-10-27 16:04:47+00:00
cnnbrk,"Attorney General Garland defends a DOJ memo responding to threats aimed at school officials, pushing back on pointed criticism from Republicans
https://t.co/i2kelAgLC3",2021-10-27 15:50:23+00:00
cnnbrk,"The State Department issues the first US passport with an ""X"" gender marker as it seeks to implement gender-inclusive policies
https://t.co/yWaixuUmXP",2021-10-27 14:28:32+00:00
cnnbrk,"Mitch McConnell backs former football star Herschel Walker's Senate bid in Georgia after initially holding concerns about the GOP candidate's viability
https://t.co/kekVNFcz6S",2021-10-27 13:15:37+00:00
cnnbrk,"The Braves held an early lead to win Game 1 of the World Series, 6-2 https://t.co/Z1HaZWSzJf",2021-10-27 04:26:57+00:00
cnnbrk,FDA committee votes in favor of granting emergency use authorization for Pfizer's Covid-19 vaccine in children ages 5 to 11 https://t.co/uFL59ihtsD,2021-10-26 20:23:13+00:00
cnnbrk,"President Biden nominates Jessica Rosenworcel to lead the FCC, which would make her the first woman to serve in the role if she's confirmed https://t.co/Yt39inAuaI",2021-10-26 18:51:03+00:00
cnnbrk,"Queen Elizabeth II won't attend a reception at next week's COP26 summit, days after an overnight stay in the hospital
https://t.co/oGnARO2Ql6",2021-10-26 17:44:36+00:00
cnnbrk,"One of the January 6 rioters charged in the assault of DC Police Officer Michael Fanone will be released from jail and put on house arrest at his parents' home as he awaits trial
https://t.co/tbKhFSMNV1",2021-10-26 17:02:54+00:00
cnnbrk,"At least five former Trump administration staffers have voluntarily spoken with the House committee investigating the attack on the US Capitol
https://t.co/VjEgqyBdPB",2021-10-26 16:00:58+00:00
cnnbrk,"A US judge has set a July 14 deadline for Prince Andrew to answer questions under oath in the civil sex assault case against him
https://t.co/o16yVrQg0P",2021-10-26 15:38:59+00:00
cnnbrk,"""Life-threatening"" flash flooding and water rescues are ongoing in New Jersey as a powerful nor'easter rolls through the East Coast. Follow live updates:
https://t.co/dJCGmboA3v",2021-10-26 13:25:44+00:00
cnnbrk,"Two people are dead and one person is in custody after a shooting at an Idaho mall, police say
https://t.co/Gz76huX4ab",2021-10-25 23:14:27+00:00
cnnbrk,"Biden has once again refused to assert executive privilege over more documents that Trump has sought to keep out of the January 6 committee's hands
https://t.co/B5wC2lQZL5",2021-10-25 22:53:32+00:00
cnnbrk,"The Biden administration is expected to name Kim Wyman, a GOP official who refuted Trump's election lies, to key election security role, sources say
https://t.co/NHgpBFpQve",2021-10-25 22:31:04+00:00
cnnbrk,"Six people, including a police officer, were injured when shots were reportedly fired at an Idaho mall, according to the Boise Police Department
https://t.co/konBml5HlZ",2021-10-25 21:40:50+00:00
cnnbrk,"""Rust"" assistant director Dave Halls was fired from previous movie after a gun incident injured a crew member, a film production company tells CNN https://t.co/XuAUhCZPNs",2021-10-25 20:22:34+00:00
cnnbrk,Moderna says interim trial results show its Covid-19 vaccine is well-tolerated and generates a robust immune response in children ages 6 to 11 https://t.co/qeoUZAixoc,2021-10-25 14:07:08+00:00
cnnbrk,"The Russian hackers behind last year's breach of US federal agencies are still attacking America's computer networks, Microsoft says https://t.co/xMVSkT2wWF",2021-10-25 12:08:06+00:00
cnnbrk,"CNN is one of 17 US news organizations reporting on the Facebook Papers, a massive trove of internal documents. Read the entire series here: https://t.co/gOjul8NoLX",2021-10-25 11:27:27+00:00
cnnbrk,Sudan Prime Minister Abdalla Hamdok and his wife have been arrested and taken to an undisclosed location amid reports of an apparent coup https://t.co/GaO6xawp2y,2021-10-25 09:19:01+00:00
cnnbrk,"The home of Sudan's Prime Minister Abdalla Hamdok appears to be surrounded by the military, with top government officials reportedly arrested https://t.co/9uV9WVuCb9",2021-10-25 05:19:25+00:00
cnnbrk,"James Michael Tyler, best known for playing Gunther on ""Friends,"" has died. He was 59.
https://t.co/HoH18PerAK",2021-10-24 23:21:56+00:00
cnnbrk,"A 3.6 magnitude earthquake rattles parts of the Los Angeles metro area, according to United States Geological Survey data 
https://t.co/2BgkZI0tlt",2021-10-24 16:17:36+00:00
cnnbrk,"President Biden will host Sen. Joe Manchin, one of two key holdouts to his sweeping economic and climate package, at his Delaware home today
https://t.co/ygGhanXT51",2021-10-24 13:33:56+00:00
cnnbrk,"Facebook's own analysis reveals how the company failed to halt growth of movement dedicated to 2020 election lie
https://t.co/Yktsy9DaDl",2021-10-23 00:10:59+00:00
cnnbrk,"The US recorded more than 1.65 million southern border arrests over the past year, breaking the previous record set in 2000
https://t.co/ZBPqZZ7dnd",2021-10-22 21:22:21+00:00
cnnbrk,"GOP Rep. Glenn Thompson, who is vaccinated, tests positive for Covid-19 
https://t.co/9cgEkaAmyo",2021-10-22 21:05:14+00:00
cnnbrk,"Rudy Giuliani's former associate Lev Parnas was convicted on all counts related to campaign finance schemes
https://t.co/dLx2uUi6yh",2021-10-22 19:22:16+00:00
cnnbrk,"Peter Scolari, 66, a veteran actor who rose to fame alongside Tom Hanks on ""Bosom Buddies,"" died Friday morning. https://t.co/ttfvDGfc36",2021-10-22 17:20:58+00:00
